Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,9,59,348,+0.323,-0.411,+0.343,+00.0422,+00.0072,-09.1843,-00.000122,-00.000380,-00.000357,-078.032,+000.248,-000.019,+0.001233851,+1.78557E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,350,+0.323,-0.411,+0.343,+00.0131,+00.0002,-09.1924,+00.000035,-00.000660,-00.000653,-078.032,+000.248,-000.019,+0.001233704,+1.78547E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,353,+0.324,-0.411,+0.345,+00.0752,+00.0336,-09.1890,-00.000238,+00.001114,-00.000802,-078.032,+000.248,-000.019,+0.001233595,+1.78561E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,355,+0.328,-0.413,+0.349,+00.0281,+00.0348,-09.1762,-00.000363,+00.001319,-00.000622,-078.032,+000.248,-000.019,+0.001233527,+1.78612E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,358,+0.328,-0.413,+0.349,-00.0016,-00.0062,-09.1746,-00.000493,+00.000445,+00.000054,-078.032,+000.248,-000.020,+0.001229845,+1.78850E-003,-6.29538E-001,+7.76966E-001
-20,1,6,1,9,59,360,+0.324,-0.412,+0.345,+00.0745,+00.0161,-09.1862,-00.001036,-00.000273,+00.000719,-078.032,+000.248,-000.020,+0.001227597,+1.78847E-003,-6.29537E-001,+7.76967E-001
-20,1,6,1,9,59,363,+0.324,-0.412,+0.345,+00.0421,+00.0236,-09.2027,-00.001075,-00.000631,+00.000681,-078.032,+000.248,-000.020,+0.001228059,+1.79299E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,365,+0.322,-0.411,+0.345,-00.0236,-00.0139,-09.1911,-00.000547,+00.000174,+00.000077,-078.032,+000.248,-000.020,+0.001228101,+1.79369E-003,-6.29537E-001,+7.76967E-001
-20,1,6,1,9,59,368,+0.325,-0.409,+0.344,+00.0592,-00.0059,-09.1762,-00.000237,+00.000158,+00.000725,-078.032,+000.248,-000.020,+0.001225435,+1.78796E-003,-6.29536E-001,+7.76969E-001
-20,1,6,1,9,59,370,+0.325,-0.409,+0.344,+00.0695,+00.0104,-09.1563,-00.000162,-00.000122,+00.000522,-078.032,+000.248,-000.020,+0.001225182,+1.78800E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,373,+0.322,-0.409,+0.345,-00.0046,-00.0101,-09.1209,-00.000125,-00.000103,-00.000705,-078.032,+000.248,-000.020,+0.001226226,+1.79060E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,375,+0.322,-0.409,+0.345,+00.0462,-00.0089,-09.1247,-00.000120,+00.000373,-00.000358,-078.032,+000.248,-000.020,+0.001226732,+1.79155E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,378,+0.327,-0.412,+0.349,+00.0678,+00.0001,-09.1618,+00.000451,-00.000077,-00.000245,-078.032,+000.248,-000.020,+0.001228257,+1.78951E-003,-6.29537E-001,+7.76967E-001
-20,1,6,1,9,59,380,+0.327,-0.412,+0.349,+00.0065,-00.0266,-09.1743,+00.000818,-00.000272,-00.000688,-078.032,+000.248,-000.020,+0.001229166,+1.78951E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,383,+0.327,-0.414,+0.345,+00.0527,-00.0231,-09.1877,-00.000064,+00.000679,-00.000339,-078.032,+000.248,-000.019,+0.001229408,+1.78654E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,385,+0.329,-0.412,+0.344,+00.0634,+00.0025,-09.1903,-00.000680,-00.000288,+00.000290,-078.032,+000.248,-000.020,+0.001227601,+1.78563E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,388,+0.329,-0.412,+0.344,-00.0171,-00.0103,-09.1543,+00.000237,-00.000049,+00.000448,-078.032,+000.248,-000.019,+0.001231291,+1.78790E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,390,+0.322,-0.413,+0.340,+00.0325,-00.0021,-09.1496,-00.000418,+00.000495,-00.000139,-078.032,+000.248,-000.020,+0.001229063,+1.78908E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,393,+0.322,-0.413,+0.340,+00.0639,+00.0278,-09.1584,-00.001069,+00.000546,-00.000209,-078.032,+000.248,-000.020,+0.001230032,+1.78975E-003,-6.29537E-001,+7.76967E-001
-20,1,6,1,9,59,395,+0.332,-0.409,+0.348,+00.0012,-00.0020,-09.1508,-00.000140,+00.000587,-00.000103,-078.032,+000.248,-000.020,+0.001229674,+1.78954E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,398,+0.333,-0.414,+0.348,+00.0509,-00.0186,-09.1739,+00.000404,+00.000086,+00.000103,-078.032,+000.248,-000.019,+0.001228951,+1.78585E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,400,+0.333,-0.414,+0.348,+00.0970,+00.0152,-09.2030,+00.000231,+00.000283,+00.000081,-078.032,+000.248,-000.020,+0.001227673,+1.78611E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,403,+0.327,-0.408,+0.345,+00.0236,+00.0022,-09.2180,-00.000633,-00.000286,-00.000321,-078.032,+000.248,-000.020,+0.001229912,+1.79169E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,405,+0.327,-0.408,+0.345,+00.0420,-00.0164,-09.2029,-00.000713,-00.000230,+00.000490,-078.032,+000.248,-000.020,+0.001229466,+1.79237E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,408,+0.323,-0.411,+0.345,+00.1041,+00.0224,-09.1864,-00.000606,+00.000826,+00.000636,-078.032,+000.249,-000.020,+0.001231743,+1.79309E-003,-6.29537E-001,+7.76968E-001
-20,1,6,1,9,59,410,+0.323,-0.409,+0.344,+00.0373,+00.0228,-09.1634,+00.000128,+00.000637,+00.000266,-078.032,+000.248,-000.020,+0.001232421,+1.79225E-003,-6.29536E-001,+7.76968E-001
