,xAcc,yAcc,zAcc
473,0.028,-0.0056,-9.1739
474,0.0713,0.0378,-9.1954
475,0.0062,0.0304,-9.1746
476,-0.0137,-0.0006,-9.1271
477,0.0674,0.0234,-9.1502
478,0.0281,0.0249,-9.16
479,-0.0117,-0.0073,-9.1305
480,0.0592,0.015,-9.1388
481,0.0493,0.0166,-9.1681
482,-0.0017,-0.0139,-9.1584
483,0.0517,0.0099,-9.1549
484,0.0451,0.0444,-9.1629
485,-0.0218,0.0203,-9.1643
486,0.0276,0.022,-9.1688
487,0.0553,0.0305,-9.1613
488,-0.0047,0.0034,-9.1558
489,0.035,0.0234,-9.146
490,0.0595,0.0289,-9.149
491,-0.0081,-0.0026,-9.1643
492,0.0301,0.0145,-9.1692
493,0.0743,0.0398,-9.1581
494,0.0159,0.0093,-9.1461
495,0.0317,0.0044,-9.1706
496,0.067,0.0154,-9.1883
497,-0.0052,-0.0055,-9.1578
498,0.0109,-0.0066,-9.1614
499,0.0679,0.0104,-9.1886
500,0.0195,-0.0232,-9.1895
501,0.0211,-0.0362,-9.1731
502,0.0777,0.0114,-9.1524
503,0.0324,0.0121,-9.1518
504,0.0073,-0.0054,-9.1605
505,0.0837,0.0098,-9.1796
506,0.0534,0.0054,-9.2046
507,0.0139,-0.0214,-9.1792
508,0.0807,0.0009,-9.1348
509,0.0452,-0.0018,-9.1232
510,0.0047,-0.032,-9.137
511,0.0813,0.0036,-9.1672
512,0.0386,0.0179,-9.1711
513,-0.0118,-0.0162,-9.1605
514,0.0731,0.0031,-9.1692
515,0.0607,0.0114,-9.1555
516,0.0083,-0.0176,-9.1541
517,0.0626,-0.0026,-9.1738
518,0.0557,0.0041,-9.1704
519,-0.0232,-0.0178,-9.1594
520,0.0382,0.0016,-9.1431
521,0.0609,0.0164,-9.1421
522,-0.0177,-0.0038,-9.1599
523,0.0538,-0.0004,-9.1882
524,0.0874,0.0175,-9.1934
525,-0.0013,-0.0029,-9.1616
526,0.0405,-0.026,-9.1406
527,0.0729,0.0017,-9.1582
528,-0.0072,-0.007,-9.1684
529,0.0196,-0.0084,-9.1505
530,0.0676,0.0053,-9.1691
531,-0.002,-0.011,-9.1703
532,0.0147,0.0073,-9.1594
533,0.0915,0.0412,-9.1747
534,0.0285,0.0152,-9.1921
535,0.0222,-0.0339,-9.197
536,0.0861,-0.0234,-9.1684
537,0.0332,-0.0008,-9.1556
538,0.0097,-0.0076,-9.1703
539,0.0846,0.005,-9.1542
540,0.0583,0.0072,-9.1349
541,0.0024,-0.0116,-9.1764
542,0.0619,0.0116,-9.2166
543,0.043,0.0133,-9.2193
544,-0.0064,-0.0086,-9.2056
545,0.052,0.0058,-9.1842
546,0.0521,0.0081,-9.165
547,0.0062,-0.0057,-9.1668
548,0.0636,-0.0023,-9.172
549,0.0629,0.0051,-9.1569
550,-0.0148,0.0089,-9.1618
551,0.0343,0.0201,-9.1811
552,0.0643,0.0192,-9.1768
553,-0.0187,-0.0077,-9.1668
554,0.0257,0.0158,-9.1623
555,0.0669,0.0409,-9.1619
556,0.0036,0.0014,-9.1716
557,0.0447,-0.0047,-9.1712
558,0.0815,0.0362,-9.1781
559,-0.0007,0.0023,-9.182
560,0.0196,-0.0116,-9.152
561,0.0763,0.0239,-9.1551
562,-0.0136,-0.007,-9.1843
563,-0.0012,-0.0101,-9.1813
564,0.0846,0.0208,-9.1587
565,0.035,0.0199,-9.1468
566,0.033,-0.0015,-9.1479
567,0.082,0.0127,-9.1563
568,0.0164,0.0272,-9.1692
569,-0.0213,0.0081,-9.1758
570,0.0576,0.016,-9.1825
571,0.0486,0.0171,-9.1784
572,0.0022,-0.0088,-9.1553
573,0.0613,0.0003,-9.1208
574,0.0259,0.0085,-9.095
575,-0.0267,-0.0021,-9.1125
576,0.0436,0.011,-9.133
577,0.0309,0.0187,-9.1547
578,-0.0019,-0.0046,-9.1858
579,0.0786,0.0046,-9.1671
580,0.0717,0.0174,-9.1528
581,-0.008,0.0011,-9.1653
582,0.0297,0.0068,-9.1614
583,0.0479,0.0033,-9.1517
584,-0.0111,-0.0297,-9.1581
585,0.0409,-0.0355,-9.1691
586,0.0734,-0.0209,-9.1717
587,0.0018,-0.0302,-9.1774
588,0.0409,-0.0125,-9.1566
589,0.0934,0.0089,-9.1782
590,0.0271,-0.0207,-9.2081
591,0.0368,-0.033,-9.1729
592,0.0801,0.0026,-9.1498
593,0.0053,-0.0076,-9.1385
594,0.0158,-0.0185,-9.1289
595,0.0814,0.0033,-9.1563
596,0.0336,-0.0257,-9.1573
597,0.0413,-0.0392,-9.1343
598,0.0969,-0.0261,-9.1425
599,0.0359,-0.0283,-9.1346
600,0.0012,-0.0286,-9.1586
601,0.0672,0.0035,-9.1751
602,0.0322,0.0109,-9.1575
603,0.0062,-0.0239,-9.1406
604,0.0815,-0.0162,-9.1313
605,0.0486,-0.012,-9.144
606,0.0074,-0.036,-9.137
607,0.0673,-0.0087,-9.1405
608,0.0602,0.0226,-9.1585
609,0.012,-0.0011,-9.1519
610,0.0739,-0.0064,-9.1651
611,0.0664,0.0052,-9.1867
612,-0.0104,0.0078,-9.1618
613,0.0467,0.0054,-9.1389
614,0.0589,0.0025,-9.1627
615,-0.0018,-0.0012,-9.1705
616,0.0566,-0.002,-9.1418
617,0.0838,0.0033,-9.1438
618,-0.0053,-0.0111,-9.1446
619,0.0182,0.0,-9.1302
620,0.0707,0.0357,-9.1185
621,-0.0007,0.005,-9.1264
622,0.0044,-0.0149,-9.1332
623,0.0517,0.0128,-9.131
624,-0.0024,0.0057,-9.1349
